escenario,symbol,nombre,grupo,valor_eur,coste_eur,peso_pct,plusvalia_eur,plusvalia_pct
corto,APPS,"Digital Turbine, Inc. - Common Stock",equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,ASTY,,,2665.67,2665.67,6.67,0.0,0.0
corto,AYA,Aya Gold & Silver Inc. - Common Shares,equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,BWX,BWX,bond,2665.67,2665.67,6.67,0.0,0.0
corto,BXC,Bluelinx Holdings Inc. Common Stock,equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,GC=F,GC=F,commodity,2665.67,2665.67,6.67,0.0,0.0
corto,HNST,"The Honest Company, Inc. - Common Stock",equity_us,2665.62,2665.62,6.67,0.0,0.0
corto,LIFE,Ethos Technologies Inc. - Class A Common Sto,equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,LOFF,,,2665.67,2665.67,6.67,0.0,0.0
corto,MATV,"Mativ Holdings, Inc. Common Stock",equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,PAXG/USD,PAXG/USD,crypto,2665.67,2665.67,6.67,0.0,0.0
corto,RCEL,"Avita Medical, Inc. - Common Stock",equity_us,2665.67,2665.67,6.67,0.0,0.0
corto,SNOU,,,2665.67,2665.67,6.67,0.0,0.0
corto,^STOXX,^STOXX,index,2665.67,2665.67,6.67,0.0,0.0
corto,· efectivo,sin invertir,,2641.68994140625,,6.610000133514404,,
medio,ALOT,"AstroNova, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,ANGL,ANGL,bond,1999.0,1999.0,5.0,0.0,0.0
medio,BFLY,"Butterfly Network, Inc. Class A Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,BWET,Breakwave Tanker Shipping ETF,etf,1999.0,1999.0,5.0,0.0,0.0
medio,CBRL,"Cracker Barrel Old Country Store, Inc. - Com",equity_us,1999.0,1999.0,5.0,0.0,0.0
medio,CDNA,"CareDx, Inc. - Common Stock",equity_us,1999.0,1999.0,5.0,0.0,0.0
